year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2012,2001,57,1214,1,9,1,14924,2011
2011,2001,56,705,1,8,1,13576,2010
2006,2001,51,584,1,3,1,13969,2005
2007,2001,52,502,1,4,1,14112,2006
2008,2001,53,606,1,5,1,13807,2007
2003,2001,48,308,1,0,-1,13235,-1
2013,2012,37,1360,1,0,-1,13693,-1
2016,2012,35,2811,1,2,1,21163,2015
2015,2012,35,818,1,1,2,14333,2013
2016,2014,45,2940,0,1,11,22811,2005
2005,2014,43,995,0,0,-1,16090,-1
2016,2015,40,2163,0,1,2,17869,2014
2014,2015,41,3041,0,0,-1,20448,-1
2013,2025,33,1243,1,0,-1,13604,-1
2016,2025,35,2059,1,1,3,17514,2013
2016,2027,40,2966,0,1,6,23298,2010
2010,2027,36,2602,0,0,-1,20611,-1
2006,2028,35,490,1,0,-1,13670,-1
2016,2028,45,1108,1,1,10,14889,2006
2015,2031,50,1467,1,7,1,16073,2014
2007,2031,44,1836,1,0,-1,18678,-1
2012,2031,49,2377,1,5,1,17197,2011
2016,2031,50,1765,1,8,1,16718,2015
2011,2031,48,1612,1,4,1,15468,2010
2010,2031,47,1253,1,3,1,15923,2009
2009,2031,46,1265,1,2,1,15541,2008
2014,2031,52,2308,1,6,2,18067,2012
2008,2031,45,1640,1,1,1,16874,2007
2006,2034,49,1626,1,3,1,17625,2005
2003,2034,46,601,1,0,-1,14557,-1
2012,2034,55,3585,1,9,1,21037,2011
2009,2034,52,2652,1,6,1,21778,2008
2010,2034,53,2288,1,7,1,18971,2009
2008,2034,51,2466,1,5,1,20939,2007
2007,2034,50,1545,1,4,1,17471,2006
2014,2034,57,3332,1,10,2,21978,2012
2015,2034,55,2545,1,11,1,21177,2014
2016,2034,55,2613,1,12,1,19748,2015
2004,2034,47,1056,1,1,1,16575,2003
2005,2034,48,779,1,2,1,15165,2004
2011,2034,54,3009,1,8,1,19082,2010
2011,2036,59,355,1,1,2,12501,2009
2015,2036,60,273,1,2,4,12802,2011
2009,2036,57,276,1,0,-1,12602,-1
2016,2036,60,394,1,3,1,12999,2015
2013,2043,36,442,1,0,-1,12334,-1
2014,2043,37,763,1,1,1,14505,2013
2016,2043,35,591,1,2,2,13587,2014
2016,2049,40,1012,1,1,1,14610,2015
2015,2049,35,1653,1,0,-1,16554,-1
2016,2053,50,1966,1,1,5,17259,2011
2011,2053,45,2408,1,0,-1,17198,-1
2014,2060,34,3135,1,0,-1,20859,-1
2016,2060,35,2585,1,2,1,19627,2015
2015,2060,35,2267,1,1,1,19138,2014
2016,2067,35,802,1,1,3,14124,2013
2013,2067,32,2316,1,0,-1,14569,-1
2016,2071,30,2184,0,1,1,17925,2015
2015,2071,25,2586,0,0,-1,21786,-1
2015,2075,40,447,0,1,1,13318,2014
2016,2075,40,764,0,2,1,14045,2015
2014,2075,42,260,0,0,-1,12936,-1
2016,2076,30,92,1,1,2,11484,2014
2014,2076,30,112,1,0,-1,12022,-1
2006,2090,33,1204,1,2,2,16132,2004
2016,2090,40,2011,1,6,3,17385,2013
2007,2090,34,1270,1,3,1,16619,2006
2011,2090,38,1668,1,4,4,15608,2007
2003,2090,30,996,1,0,-1,16476,-1
2004,2090,31,1422,1,1,1,18490,2003
2013,2090,40,2946,1,5,2,14980,2011
2014,2092,56,1214,1,0,-1,15603,-1
2015,2092,55,312,1,1,1,12949,2014
2016,2092,55,720,1,2,1,13964,2015
2016,2097,35,1322,1,2,1,15487,2015
2015,2097,35,1268,1,1,1,15567,2014
2014,2097,37,1392,1,0,-1,16062,-1
2016,2098,60,1300,1,4,1,15426,2015
2014,2098,61,1722,1,2,2,16713,2012
2012,2098,59,1818,1,1,6,16022,2006
2015,2098,60,1356,1,3,1,15816,2014
2006,2098,53,1589,1,0,-1,17484,-1
2013,2101,51,1956,1,0,-1,14271,-1
2014,2101,52,1390,1,1,1,16061,2013
2016,2101,50,2104,1,2,2,17685,2014
2016,2108,50,995,1,1,1,14557,2015
2015,2108,50,1844,1,0,-1,17206,-1
2013,2109,25,1755,0,0,-1,14089,-1
2016,2109,25,906,0,1,3,14343,2013
2015,2112,30,722,1,0,-1,14087,-1
2016,2112,30,240,1,1,1,12417,2015
2015,2114,40,792,1,0,-1,14276,-1
2016,2114,45,948,1,1,1,14424,2015
2015,2117,45,825,1,0,-1,14340,-1
2016,2117,50,882,1,1,1,14310,2015
2014,2124,36,855,0,0,-1,14775,-1
2016,2124,35,1054,0,1,2,14751,2014
2015,2128,30,539,1,0,-1,13588,-1
2016,2128,30,1238,1,1,1,15233,2015
2015,2130,35,159,1,0,-1,12239,-1
2016,2130,35,53,1,1,1,11036,2015
2016,2132,30,715,1,2,1,13953,2015
2013,2132,27,1750,1,0,-1,14085,-1
2015,2132,25,177,1,1,2,12316,2013
2011,2134,51,3123,0,0,-1,19654,-1
2016,2134,55,2497,0,1,5,19241,2011
2016,2138,45,2178,1,2,2,17913,2014
2005,2138,40,189,1,0,-1,12565,-1
2014,2138,45,2398,1,1,9,18331,2005
2016,2143,35,957,1,1,1,14451,2015
2015,2143,35,183,1,0,-1,12363,-1
2016,2145,35,1030,0,1,5,14672,2011
2011,2145,34,876,0,0,-1,13926,-1
2016,2147,30,1906,0,1,2,17089,2014
2014,2147,29,1999,0,0,-1,17330,-1
2015,2153,35,997,1,0,-1,14820,-1
2016,2153,35,1138,1,1,1,14952,2015
2016,2154,40,911,0,1,1,14348,2015
2015,2154,40,1238,0,0,-1,15501,-1
2016,2158,45,1144,1,3,4,14966,2012
2011,2158,40,1132,1,1,1,14393,2010
2010,2158,39,1377,1,0,-1,16207,-1
2012,2158,41,1644,1,2,1,15694,2011
2015,2160,55,555,1,0,-1,13653,-1
2016,2160,55,710,1,1,1,13936,2015
2015,2161,35,2540,1,0,-1,21145,-1
2016,2161,35,1936,1,1,1,17181,2015
2011,2168,47,1394,1,1,1,15025,2010
2010,2168,46,1126,1,0,-1,15587,-1
2016,2168,50,2133,1,2,5,17768,2011
2006,2169,44,477,1,3,1,13618,2005
2004,2169,42,419,1,1,1,13919,2003
2014,2169,52,1245,1,10,2,15690,2012
2012,2169,50,1832,1,9,1,16039,2011
2003,2169,41,422,1,0,-1,13761,-1
2007,2169,45,608,1,4,1,14448,2006
2010,2169,48,971,1,7,1,15219,2009
2015,2169,50,1809,1,11,1,17095,2014
2008,2169,46,1118,1,5,1,15309,2007
2016,2169,50,2018,1,12,1,17398,2015
2009,2169,47,1011,1,6,1,14909,2008
2011,2169,49,2340,1,8,1,17051,2010
2005,2169,43,402,1,2,1,13674,2004
2016,2172,50,1486,1,1,4,15972,2012
2012,2172,46,1911,1,0,-1,16195,-1
2012,2174,34,2209,1,2,1,16808,2011
2015,2174,35,1406,1,4,1,15921,2014
2016,2174,35,726,1,5,1,13973,2015
2011,2174,33,2624,1,1,1,17833,2010
2014,2174,36,2089,1,3,2,17525,2012
2010,2174,32,2283,1,0,-1,18945,-1
2014,2176,33,3463,1,0,-1,23083,-1
2016,2176,35,2663,1,1,2,19997,2014
2014,2182,27,1910,1,0,-1,17140,-1
2016,2182,25,820,1,1,2,14165,2014
2016,2185,25,2405,1,1,6,18891,2010
2010,2185,42,1294,1,0,-1,16020,-1
2014,2189,50,3117,1,1,2,20778,2012
2016,2189,50,2691,1,2,2,20240,2014
2012,2189,48,3541,1,0,-1,20705,-1
2012,2191,44,906,1,2,1,14266,2011
2011,2191,43,1092,1,1,2,14309,2009
2014,2191,46,642,1,3,2,14192,2012
2009,2191,41,1651,1,0,-1,16650,-1
2016,2191,45,1066,1,4,2,14792,2014
2015,2194,50,2717,0,0,-1,23941,-1
2016,2194,50,2913,0,1,1,22302,2015
2005,2197,31,1284,1,0,-1,17403,-1
2016,2197,20,2026,1,1,11,17422,2005
2014,2203,46,2798,0,0,-1,19630,-1
2016,2203,45,2271,0,1,2,18262,2014
2016,2204,50,2270,1,1,1,18250,2015
2015,2204,50,2172,1,0,-1,18660,-1
2016,2208,45,2130,1,1,11,17756,2005
2005,2208,31,73,1,0,-1,11448,-1
2014,2211,43,3229,1,2,2,21400,2012
2011,2211,40,3354,1,0,-1,21205,-1
2015,2211,40,2536,1,3,1,21087,2014
2012,2211,41,3590,1,1,1,21070,2011
2016,2211,45,2773,1,4,1,20866,2015
2016,2213,35,1797,1,1,7,16795,2009
2009,2213,30,1821,1,0,-1,17098,-1
2016,2215,40,1870,0,1,2,16986,2014
2014,2215,42,1403,0,0,-1,16076,-1
2015,2216,40,2266,0,0,-1,19134,-1
2016,2216,40,2329,0,1,1,18513,2015
2015,2220,40,2047,1,1,1,17925,2014
2014,2220,40,3052,1,0,-1,20471,-1
2016,2220,40,2760,1,2,1,20775,2015
2016,2225,35,2802,1,3,1,21077,2015
2014,2225,35,2332,1,1,2,18134,2012
2015,2225,35,2153,1,2,1,18489,2014
2012,2225,33,2091,1,0,-1,16541,-1
2016,2226,35,532,1,2,1,13438,2015
2014,2226,34,623,1,0,-1,14140,-1
2015,2226,35,394,1,1,1,13167,2014
2015,2230,55,2458,0,0,-1,20304,-1
2016,2230,60,2507,1,1,1,19292,2015
2016,2233,45,1968,0,3,2,17266,2014
2012,2233,42,1775,0,1,6,15948,2006
2014,2233,45,1769,0,2,2,16828,2012
2006,2233,36,350,0,0,-1,13131,-1
2016,2235,45,2987,0,1,2,23770,2014
2014,2235,46,3361,0,0,-1,22122,-1
2016,2239,45,355,1,8,1,12835,2015
2009,2239,39,522,1,3,1,13458,2008
2007,2239,37,944,1,1,1,15665,2006
2014,2239,44,1748,1,6,3,16777,2011
2015,2239,45,367,1,7,1,13089,2014
2008,2239,38,846,1,2,1,14458,2007
2011,2239,41,1037,1,5,1,14199,2010
2006,2239,36,635,1,0,-1,14164,-1
2010,2239,40,288,1,4,1,13021,2009
2013,2243,44,1476,0,1,1,13808,2012
2015,2243,45,1130,0,3,1,15210,2014
2012,2243,43,1002,0,0,-1,14445,-1
2016,2243,45,1250,0,4,1,15264,2015
2014,2243,45,1423,0,2,1,16108,2013
2015,2247,35,1988,1,2,3,17770,2012
2016,2247,40,1472,1,3,1,15959,2015
2012,2247,36,1740,1,1,1,15885,2011
2011,2247,35,1620,1,0,-1,15486,-1
2015,2250,40,1335,1,0,-1,15763,-1
2016,2250,45,735,1,1,1,13989,2015
2016,2253,55,841,1,1,5,14216,2011
2011,2253,54,728,1,0,-1,13633,-1
2013,2255,28,2486,1,0,-1,14682,-1
2016,2255,40,898,1,1,3,14332,2013
2012,2256,28,2155,0,0,-1,16686,-1
2016,2256,30,2673,0,1,4,20076,2012
2016,2262,50,1817,1,6,4,16853,2012
2012,2262,49,1594,1,5,1,15608,2011
2008,2262,45,1192,1,1,4,15540,2004
2009,2262,46,1268,1,2,1,15550,2008
2010,2262,47,1097,1,3,1,15521,2009
2011,2262,48,2276,1,4,1,16926,2010
2004,2262,33,552,1,0,-1,14379,-1
2016,2263,45,2393,0,1,4,18841,2012
2012,2263,49,2579,0,0,-1,17638,-1
2016,2264,55,2324,1,1,2,18475,2014
2014,2264,55,2925,1,0,-1,20047,-1
2014,2265,38,109,1,1,2,12007,2012
2016,2265,40,51,1,3,1,11029,2015
2015,2265,35,56,1,2,1,11195,2014
2012,2265,36,2082,1,0,-1,16525,-1
2014,2267,44,138,1,0,-1,12273,-1
2015,2267,45,362,1,1,1,13077,2014
2016,2267,45,422,1,2,1,13101,2015
2015,2272,40,478,1,3,1,13402,2014
2016,2272,40,709,1,4,1,13931,2015
2011,2272,37,1371,1,0,-1,14977,-1
2014,2272,40,910,1,2,2,14884,2012
2012,2272,38,864,1,1,1,14175,2011
2013,2280,33,1926,1,0,-1,14248,-1
2016,2280,35,648,1,1,3,13739,2013
2014,2281,34,756,1,0,-1,14491,-1
2016,2281,35,278,1,1,2,12566,2014
2016,2284,50,2159,1,3,1,17862,2015
2012,2284,59,726,1,0,-1,13857,-1
2014,2284,52,2678,1,1,2,19264,2012
2015,2284,50,2128,1,2,1,18337,2014
2015,2289,40,1054,1,1,1,14990,2014
2016,2289,45,1471,1,2,1,15950,2015
2014,2289,43,1246,1,0,-1,15691,-1
2013,2290,39,3729,0,0,-1,15474,-1
2014,2290,40,922,0,1,1,14918,2013
2016,2290,40,960,0,2,2,14456,2014
2013,2292,26,2289,1,0,-1,14538,-1
2016,2292,25,1410,1,1,3,15782,2013
2014,2293,27,1165,0,2,1,15501,2013
2013,2293,37,3778,0,0,-1,15503,-1
2014,2293,25,923,0,3,0,14920,2014
2013,2293,30,1666,0,1,0,14012,2013
2016,2293,40,1180,0,4,2,15082,2014
2016,2295,45,1816,1,2,1,16842,2015
2012,2295,44,3367,1,0,-1,19869,-1
2015,2295,45,2256,1,1,3,19092,2012
2013,2303,40,1611,1,0,-1,13948,-1
2016,2303,40,722,1,1,3,13966,2013
2016,2315,40,1146,1,3,1,14970,2015
2015,2315,40,685,1,2,1,14010,2014
2014,2315,42,1430,1,1,1,16119,2013
2013,2315,41,1731,1,0,-1,14069,-1
2014,2319,27,2971,0,0,-1,20192,-1
2016,2319,25,2919,0,2,1,22433,2015
2015,2319,25,2540,0,1,1,21145,2014
2015,2321,55,1636,1,2,1,16511,2014
2011,2321,51,1812,1,0,-1,15890,-1
2016,2321,55,1926,1,3,1,17140,2015
2014,2321,54,2432,1,1,3,18434,2011
2016,2322,60,698,1,2,9,13901,2007
2005,2322,61,1307,1,0,-1,17525,-1
2007,2322,63,1984,1,1,2,19431,2005
2016,2332,45,1008,0,1,2,14594,2014
2014,2332,45,1274,0,0,-1,15790,-1
2016,2336,35,500,1,5,1,13326,2015
2015,2336,35,491,1,4,2,13444,2013
2008,2336,31,513,1,0,-1,13562,-1
2011,2336,34,1293,1,2,2,14750,2009
2013,2336,36,2244,1,3,2,14509,2011
2009,2336,32,370,1,1,1,13000,2008
2016,2340,35,404,1,3,9,13035,2007
2003,2340,24,109,1,0,-1,11812,-1
2007,2340,28,260,1,2,1,13166,2006
2006,2340,27,299,1,1,3,12891,2003
2014,2343,47,2733,1,2,2,19457,2012
2011,2343,44,3272,1,0,-1,20525,-1
2015,2343,45,2704,1,3,1,23589,2014
2016,2343,45,2347,1,4,1,18599,2015
2012,2343,45,3110,1,1,1,19002,2011
2013,2348,30,209,1,0,-1,11644,-1
2016,2348,30,1702,1,1,3,16544,2013
2016,2351,50,435,1,1,2,13128,2014
2014,2351,46,239,1,0,-1,12846,-1
2015,2353,40,801,1,0,-1,14297,-1
2016,2353,45,938,1,1,1,14397,2015
2016,2366,40,2367,1,1,2,18706,2014
2014,2366,40,1964,1,0,-1,17248,-1
2010,2371,61,520,1,6,2,13906,2008
2003,2371,54,388,1,0,-1,13630,-1
2006,2371,57,514,1,3,1,13749,2005
2008,2371,59,564,1,5,1,13734,2007
2016,2371,65,846,1,11,1,14224,2015
2004,2371,55,356,1,1,1,13723,2003
2007,2371,58,355,1,4,1,13599,2006
2011,2371,62,849,1,7,1,13875,2010
2012,2371,63,1686,1,8,1,15774,2011
2005,2371,56,907,1,2,1,15735,2004
2014,2371,65,720,1,9,2,14408,2012
2015,2371,65,742,1,10,1,14123,2014
2013,2376,44,3111,0,0,-1,15082,-1
2016,2376,45,1871,0,1,3,16986,2013
2012,2383,36,75,1,1,2,11253,2010
2015,2383,35,46,1,3,1,10993,2014
2010,2383,34,22,1,0,-1,10651,-1
2014,2383,38,75,1,2,2,11618,2012
2016,2383,40,43,1,4,1,10924,2015
2016,2385,40,933,1,1,1,14386,2015
2015,2385,40,1014,1,0,-1,14862,-1
2012,2389,55,3523,1,5,1,20644,2011
2010,2389,53,2500,1,3,1,19963,2009
2015,2389,55,2524,1,7,1,20882,2014
2011,2389,54,3408,1,4,1,21746,2010
2016,2389,55,2732,1,8,1,20542,2015
2009,2389,52,2393,1,2,1,19558,2008
2008,2389,51,2489,1,1,1,21081,2007
2007,2389,50,2217,1,0,-1,21011,-1
2014,2389,57,3347,1,6,2,22060,2012
2014,2392,37,948,1,0,-1,14984,-1
2016,2392,35,315,1,2,1,12664,2015
2015,2392,35,388,1,1,1,13153,2014
2010,2395,48,128,0,6,1,12070,2009
2011,2395,49,152,0,7,1,11624,2010
2012,2395,50,111,0,8,1,11546,2011
2014,2395,52,146,0,9,2,12312,2012
2008,2395,46,98,0,4,1,11500,2007
2015,2395,50,68,0,10,1,11473,2014
2007,2395,45,55,0,3,1,11683,2006
2004,2395,42,80,0,0,-1,11827,-1
2009,2395,47,145,0,5,1,11894,2008
2016,2395,50,105,0,11,1,11615,2015
2005,2395,43,93,0,1,1,11685,2004
2006,2395,44,107,0,2,1,11700,2005
2016,2400,45,2485,0,1,1,19196,2015
2015,2400,40,2369,0,0,-1,19664,-1
2016,2407,45,474,0,1,1,13268,2015
2015,2407,45,515,0,0,-1,13532,-1
2015,2410,35,1617,0,0,-1,16467,-1
2016,2410,35,1653,0,1,1,16401,2015
2013,2415,31,2966,0,0,-1,14992,-1
2014,2415,32,1348,0,1,1,15971,2013
2016,2415,30,1532,0,2,2,16083,2014
2016,2420,30,2957,0,1,1,23237,2015
2015,2420,30,2615,0,0,-1,22086,-1
2014,2422,29,179,1,0,-1,12533,-1
2015,2422,30,77,1,1,1,11585,2014
2016,2422,30,79,1,2,1,11329,2015
2016,2436,50,411,1,4,1,13068,2015
2011,2436,45,1205,1,0,-1,14562,-1
2015,2436,45,507,1,3,1,13490,2014
2014,2436,48,1311,1,2,2,15888,2012
2012,2436,46,853,1,1,1,14152,2011
2010,2440,56,2757,1,0,-1,22118,-1
2016,2440,60,2918,1,4,1,22409,2015
2011,2440,57,3483,1,1,1,22903,2010
2015,2440,60,2673,1,3,3,22911,2012
2012,2440,58,3834,1,2,1,22918,2011
2007,2441,35,740,1,1,1,14962,2006
2006,2441,34,767,1,0,-1,14562,-1
2016,2441,40,640,1,3,8,13720,2008
2008,2441,36,1914,1,2,1,17709,2007
2015,2444,35,2573,0,3,1,21589,2014
2011,2444,35,2646,0,0,-1,17896,-1
2016,2444,40,2562,0,4,1,19527,2015
2012,2444,36,3150,0,1,1,19140,2011
2014,2444,38,2882,0,2,2,19922,2012
2016,2446,40,2038,1,1,7,17470,2009
2009,2446,35,1828,1,0,-1,17115,-1
2016,2453,50,93,1,1,13,11487,2003
2003,2453,39,39,1,0,-1,10953,-1
2014,2456,44,313,1,0,-1,13162,-1
2016,2456,45,167,1,1,2,12008,2014
2014,2458,68,3081,0,0,-1,20586,-1
2016,2458,70,2706,0,2,1,20338,2015
2015,2458,65,2570,0,1,1,21520,2014
2016,2461,25,1326,1,1,7,15508,2009
2009,2461,26,2576,1,0,-1,20819,-1
2016,2467,55,877,1,2,4,14284,2012
2012,2467,51,344,1,1,1,12768,2011
2011,2467,50,340,1,0,-1,12478,-1
2014,2475,35,1090,0,2,5,15340,2009
2008,2475,29,1499,0,0,-1,16364,-1
2009,2475,30,1643,0,1,1,16632,2008
2015,2475,35,1325,0,3,1,15727,2014
2016,2475,35,505,0,4,1,13345,2015
2016,2476,40,2854,0,1,2,21694,2014
2014,2476,41,2070,0,0,-1,17490,-1
2016,2489,50,2976,0,3,2,23548,2014
2014,2489,48,3483,0,2,2,23285,2012
2012,2489,46,3424,0,1,4,20172,2008
2008,2489,42,1675,0,0,-1,16985,-1
2015,2492,30,2267,0,1,1,19138,2014
2014,2492,31,3136,0,0,-1,20861,-1
2016,2492,30,2583,0,2,1,19626,2015
2010,2494,37,1202,1,3,1,15794,2009
2015,2494,40,360,1,7,1,13076,2014
2011,2494,38,747,1,4,1,13677,2010
2014,2494,41,831,1,6,2,14717,2012
2007,2494,34,996,1,0,-1,15785,-1
2012,2494,39,506,1,5,1,13325,2011
2009,2494,36,163,1,2,1,12080,2008
2008,2494,35,499,1,1,1,13505,2007
2016,2494,40,252,1,8,1,12465,2015
2012,2497,49,1336,1,0,-1,15140,-1
2015,2497,50,859,1,1,3,14425,2012
2016,2497,50,1194,1,2,1,15121,2015
2016,2500,55,2110,1,1,4,17695,2012
2012,2500,52,3179,1,0,-1,19219,-1
2009,2502,61,512,1,6,1,13420,2008
2016,2502,65,1737,1,11,1,16634,2015
2010,2502,62,1010,1,7,1,15312,2009
2015,2502,65,1091,1,10,3,15090,2012
2007,2502,59,719,1,4,1,14886,2006
2011,2502,63,995,1,8,1,14114,2010
2004,2502,56,83,1,1,1,11844,2003
2008,2502,60,495,1,5,1,13498,2007
2005,2502,57,271,1,2,1,13018,2004
2006,2502,58,415,1,3,1,13356,2005
2012,2502,64,881,1,9,1,14212,2011
2003,2502,55,114,1,0,-1,11863,-1
2009,2504,35,926,0,1,1,14606,2008
2011,2504,37,1400,0,3,1,15037,2010
2014,2504,40,2262,0,5,2,17955,2012
2016,2504,40,1561,0,7,1,16134,2015
2010,2504,36,957,0,2,1,15170,2009
2015,2504,40,1396,0,6,1,15891,2014
2012,2504,38,1390,0,4,1,15239,2011
2008,2504,34,1703,0,0,-1,17083,-1
2009,2506,41,2403,1,0,-1,19609,-1
2014,2506,46,2980,1,2,4,20218,2010
2016,2506,45,2734,1,4,1,20571,2015
2015,2506,45,2399,1,3,1,19836,2014
2010,2506,42,2223,1,1,1,18682,2009
2016,2512,35,1455,1,1,1,15916,2015
2015,2512,35,1766,1,0,-1,16956,-1
2015,2514,60,2121,1,1,4,18291,2011
2016,2514,50,2870,1,2,1,21803,2015
2011,2514,54,2101,1,0,-1,16521,-1
2012,2516,29,2220,1,0,-1,16834,-1
2016,2516,30,1876,1,1,4,17016,2012
2015,2519,45,134,1,0,-1,12090,-1
2016,2519,45,84,1,1,1,11382,2015
2014,2522,43,2602,1,0,-1,19019,-1
2016,2522,45,1520,1,1,2,16049,2014
2015,2524,35,2554,1,0,-1,21299,-1
2016,2524,35,2991,1,1,1,23923,2015
2015,2525,50,650,1,2,10,13922,2005
2016,2525,50,1222,1,3,1,15184,2015
2003,2525,39,290,1,0,-1,13160,-1
2005,2525,41,239,1,1,2,12899,2003
2012,2532,38,3343,1,0,-1,19776,-1
2016,2532,40,2343,1,1,4,18573,2012
2015,2534,35,1831,0,1,1,17162,2014
2016,2534,40,1807,0,2,1,16824,2015
2014,2534,38,2296,0,0,-1,18033,-1
2014,2535,35,31,1,0,-1,10853,-1
2016,2535,35,7,1,2,1,10150,2015
2015,2535,35,18,1,1,1,10525,2014
2014,2541,53,3380,1,0,-1,22265,-1
2016,2541,55,2735,1,1,2,20576,2014
2016,2542,35,1664,1,1,4,16436,2012
2012,2542,35,703,1,0,-1,13814,-1
2015,2546,30,1509,1,0,-1,16190,-1
2016,2546,30,697,1,1,1,13899,2015
2015,2550,35,529,0,3,1,13566,2014
2012,2550,33,1637,0,1,1,15671,2011
2014,2550,35,1140,0,2,2,15449,2012
2011,2550,32,2169,0,0,-1,16688,-1
2016,2550,35,831,0,4,1,14194,2015
2014,2552,35,2226,0,0,-1,17883,-1
2016,2552,35,2776,0,1,2,20889,2014
2016,2554,30,2241,1,1,7,18154,2009
2009,2554,25,1180,1,0,-1,15334,-1
2016,2555,30,806,0,1,1,14135,2015
2015,2555,30,977,0,0,-1,14739,-1
2016,2557,45,111,1,1,1,11672,2015
2015,2557,40,99,1,0,-1,11823,-1
2015,2562,40,1216,1,0,-1,15435,-1
2016,2562,40,1105,1,1,1,14884,2015
2016,2569,45,2534,0,2,1,19406,2015
2014,2569,46,2346,0,0,-1,18170,-1
2015,2569,45,1757,0,1,1,16931,2014
2016,2571,30,2683,0,1,1,20170,2015
2015,2571,25,2424,0,0,-1,20069,-1
2015,2575,20,1572,1,1,1,16337,2014
2016,2575,20,1894,1,2,1,17055,2015
2014,2575,22,1768,1,0,-1,16818,-1
2012,2577,56,1405,1,4,2,15267,2010
2006,2577,48,724,1,0,-1,14436,-1
2008,2577,50,1582,1,2,1,16649,2007
2007,2577,49,1072,1,1,1,16013,2006
2016,2577,55,1414,1,7,1,15793,2015
2010,2577,52,1001,1,3,2,15293,2008
2014,2577,56,2111,1,5,2,17564,2012
2015,2577,55,874,1,6,1,14459,2014
2015,2584,45,2046,1,0,-1,17918,-1
2016,2584,45,2552,1,1,1,19507,2015
2014,2585,24,2543,0,0,-1,18799,-1
2016,2585,25,2633,0,1,2,19838,2014
2014,2588,37,979,1,0,-1,15063,-1
2016,2588,35,522,1,1,2,13406,2014
2016,2596,35,2560,0,4,1,19527,2015
2014,2596,36,1593,0,2,2,16420,2012
2012,2596,34,3150,0,1,1,19140,2011
2015,2596,35,2099,0,3,1,18149,2014
2011,2596,33,2644,0,0,-1,17894,-1
2013,2602,22,492,1,0,-1,12440,-1
2016,2602,30,11,1,1,3,10285,2013
2014,2604,42,1951,0,0,-1,17228,-1
2016,2604,35,1799,0,1,2,16802,2014
2016,2608,35,974,1,3,2,14497,2014
2014,2608,37,976,1,2,2,15056,2012
2011,2608,34,2556,1,0,-1,17641,-1
2012,2608,35,2324,1,1,1,17044,2011
2016,2611,20,1994,1,1,1,17345,2015
2015,2611,20,1650,1,0,-1,16550,-1
2015,2612,30,2352,1,0,-1,19601,-1
2016,2612,35,2381,1,1,1,18763,2015
2014,2614,46,1336,1,0,-1,15944,-1
2016,2614,45,1127,1,1,2,14936,2014
2008,2618,48,968,1,1,1,14882,2007
2007,2618,47,675,1,0,-1,14724,-1
2016,2618,55,1533,1,4,5,16085,2011
2011,2618,51,674,1,3,2,13519,2009
2009,2618,49,353,1,2,1,12959,2008
2016,2619,55,2670,1,2,1,20040,2015
2015,2619,55,2294,1,1,1,19331,2014
2014,2619,57,3108,1,0,-1,20708,-1
2015,2621,35,1966,1,0,-1,17687,-1
2016,2621,35,3026,1,1,1,25133,2015
2013,2624,51,2433,0,2,6,14646,2007
2007,2624,45,922,0,1,2,15607,2005
2005,2624,43,414,0,0,-1,13763,-1
2016,2624,50,1840,0,3,3,16918,2013
2015,2626,20,1621,0,0,-1,16471,-1
2016,2626,25,2610,0,1,1,19724,2015
2016,2631,35,2458,0,1,5,19061,2011
2011,2631,29,3489,0,0,-1,23052,-1
2011,2632,48,2145,1,0,-1,16630,-1
2012,2632,49,2837,1,1,1,18229,2011
2016,2632,35,1526,1,2,4,16066,2012
2012,2642,24,193,1,0,-1,12105,-1
2012,2642,45,1778,1,1,0,15961,2012
2016,2642,40,1686,1,2,4,16482,2012
2014,2653,35,3094,0,0,-1,20624,-1
2015,2653,35,2317,0,1,1,19404,2014
2016,2653,35,2698,0,2,1,20299,2015
2016,2655,50,2696,0,1,1,20276,2015
2015,2655,50,2407,0,0,-1,19904,-1
2016,2659,45,1397,1,1,3,15742,2013
2013,2659,45,1027,1,0,-1,13333,-1
2016,2663,30,887,1,1,3,14316,2013
2013,2663,31,738,1,0,-1,12903,-1
2007,2669,49,871,1,3,1,15412,2006
2004,2669,46,227,1,0,-1,13116,-1
2010,2669,52,558,1,6,1,14004,2009
2009,2669,51,975,1,5,1,14785,2008
2011,2669,53,1762,1,7,1,15789,2010
2015,2669,55,808,1,9,3,14307,2012
2016,2669,55,657,1,10,1,13766,2015
2008,2669,50,682,1,4,1,14015,2007
2012,2669,54,1602,1,8,1,15618,2011
2006,2669,48,362,1,2,1,13169,2005
2005,2669,47,214,1,1,1,12754,2004
2012,2672,24,1252,1,0,-1,15008,-1
2016,2672,25,850,1,1,4,14232,2012
2015,2678,40,900,1,0,-1,14502,-1
2016,2678,40,289,1,1,1,12595,2015
2016,2685,40,2070,0,1,1,17536,2015
2015,2685,40,1723,0,0,-1,16823,-1
2016,2687,50,243,1,1,1,12424,2015
2015,2687,50,263,1,0,-1,12780,-1
2015,2691,25,445,1,5,1,13315,2014
2010,2691,22,14,1,1,1,10379,2009
2012,2691,24,42,1,3,1,10719,2011
2014,2691,26,40,1,4,2,10994,2012
2011,2691,23,51,1,2,1,10726,2010
2016,2691,25,236,1,6,1,12402,2015
2009,2691,21,35,1,0,-1,10684,-1
